falla_id,inventario_id,cliente_id,cliente_nombre,tipo_equipo,marca,modelo,fecha_deteccion,descripcion_falla,gravedad_1a5,causa_raiz,fecha_correccion,servicio_relacionado_id,ubicacion
FD-000093,EQP-0069,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-03-06T00:00:00Z,Bajo voltaje de salida,2,Sobrecarga puntual,2024-03-18T00:00:00Z,,Depósito 5 - Tolhuin
FD-000072,EQP-0097,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-03-18T00:00:00Z,Sobrecalentamiento por filtro obstruido,3,Desgaste natural,2025-04-02T00:00:00Z,SV-004036,Sucursal 5 - Río Grande
FD-000057,EQP-0033,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-03-23T00:00:00Z,Sobrevelocidad detectada,3,Sobrecarga puntual,2024-04-02T00:00:00Z,SV-003031,Taller 5 - Río Grande
FD-000085,EQP-0096,CLI-048,Cliente 048,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-04-28T00:00:00Z,Sobrecalentamiento por filtro obstruido,2,Falta de limpieza,2025-05-18T00:00:00Z,SV-004313,Planta 5 - Tolhuin
FD-000068,EQP-0088,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-12-03T00:00:00Z,Quemador no enciende,2,Componente defectuoso,2022-12-23T00:00:00Z,SV-003727,Sucursal 4 - Río Grande
FD-000071,EQP-0097,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-09-22T00:00:00Z,Sobrecalentamiento por filtro obstruido,2,Sobrecarga puntual,2023-09-23T00:00:00Z,SV-004053,Sucursal 5 - Tolhuin
FD-000034,EQP-0057,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-21T00:00:00Z,Desgaste de cepillos del alternador,5,Ajuste incorrecto,2024-01-31T00:00:00Z,,Planta 4 - Tolhuin
FD-000073,EQP-0076,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2024-06-16T00:00:00Z,Temperatura elevada del refrigerante,4,Desgaste natural,2024-05-07T00:00:00Z,,Taller 2 - Ushuaia
FD-000109,EQP-0016,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-09-10T00:00:00Z,Sobretemperatura por radiador obstruido,3,Sobrecarga puntual,2024-11-09T00:00:00Z,,Oficina 5 - Ushuaia
FD-000091,EQP-0060,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2023-05-25T00:00:00Z,Fallo en bujías,12,Desgaste natural,2023-04-06T00:00:00Z,,Obra 3 - Ushuaia
FD-000055,EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-02-16T00:00:00Z,Dificultad de arranque (batería baja),8,Componente defectuoso,2023-02-21T00:00:00Z,,Obra 5 - Ushuaia
FD-000053,EQP-0087,CLI-038,Cliente 038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-07-13T00:00:00Z,Desgaste de cepillos del alternador,9,Componente defectuoso,2023-07-16T00:00:00Z,,Oficina 1 - Tolhuin
FD-000015,EQP-0086,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2025-01-23T00:00:00Z,Baja presión de combustible,2,Desgaste natural,2025-01-25T00:00:00Z,,Planta 4 - Río Grande
FD-000042,EQP-0024,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-06-16T00:00:00Z,Pérdida de presión en manguera,3,Ajuste incorrecto,2024-06-20T00:00:00Z,,Planta 5 - Tolhuin
FD-000029,EQP-0043,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 4.5,2022-11-16T00:00:00Z,Fallo sensor de presión de aceite,4,Sobrecarga puntual,2022-11-22T00:00:00Z,,Depósito 3 - Río Grande
FD-000079,EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-03T00:00:00Z,Desgaste de cepillos del alternador,4,Desgaste natural,2023-01-10T00:00:00Z,SV-003064,Obra 1 - Río Grande
FD-000086,EQP-0003,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-08T00:00:00Z,Desgaste de cepillos del alternador,3,Componente defectuoso,2024-01-13T00:00:00Z,SV-004139,Taller 3 - Tolhuin
FD-000078,EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-09-05T00:00:00Z,Sobretemperatura por radiador obstruido,3,Sobrecarga puntual,2022-09-12T00:00:00Z,SV-003100,Obra 1 - Río Grande
FD-000027,EQP-0043,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 4.5,2023-08-23T00:00:00Z,Baja presión de combustible,3,Componente defectuoso,2023-08-24T00:00:00Z,,Depósito 3 - Río Grande
FD-000045,EQP-0002,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-05-19T00:00:00Z,Inyectores con suciedad,2,Falta de limpieza,2024-05-27T00:00:00Z,,Sucursal 4 - Tolhuin
FD-000009,EQP-0083,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-10-11T00:00:00Z,Fuga en conducto de combustible,4,Sobrecarga puntual,2024-10-14T00:00:00Z,,Planta 5 - Tolhuin
FD-000012,EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2023-02-14T00:00:00Z,Fallo en bujías,-7,Ajuste incorrecto,2023-03-05T00:00:00Z,,Oficina 5 - Río Grande
FD-000017,EQP-0008,CLI-023,Cliente 023,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-01-06T00:00:00Z,Quemador no enciende,3,Componente defectuoso,2022-01-07T00:00:00Z,SV-000862,Sucursal 4 - Río Grande
FD-000077,EQP-0014,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-05-04T00:00:00Z,Fuga en conducto de combustible,12,Sobrecarga puntual,1900-01-01T00:00:00Z,,Sucursal 4 - Tolhuin
FD-000016,EQP-0044,CLI-017,Cliente 017,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-09-01T00:00:00Z,Desgaste de cepillos del alternador,3,Componente defectuoso,2023-09-16T00:00:00Z,SV-000804,Taller 5 - Río Grande
FD-000050,EQP-0049,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-06-25T00:00:00Z,Baja presión de combustible,4,Desgaste natural,2024-07-12T00:00:00Z,SV-002459,Sucursal 5 - Río Grande
FD-000026,EQP-0066,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-02T00:00:00Z,Sobretemperatura por radiador obstruido,-8,Ajuste incorrecto,2023-01-05T00:00:00Z,SV-001485,Obra 5 - Río Grande
FD-000023,EQP-0028,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2023-01-27T00:00:00Z,Fallo sensor de presión de aceite,3,Componente defectuoso,2023-02-14T00:00:00Z,SV-001326,Planta 5 - Tolhuin
FD-000024,EQP-0066,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-01-14T00:00:00Z,Desgaste de cepillos del alternador,4,Sobrecarga puntual,2022-01-16T00:00:00Z,,Obra 5 - Ushuaia
FD-000108,EQP-0016,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-07-19T00:00:00Z,Dificultad de arranque (batería baja),4,Sobrecarga puntual,2024-07-24T00:00:00Z,SV-004465,Oficina 5 - Tolhuin
FD-000063,EQP-0077,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2025-04-06T00:00:00Z,Fallo en bujías,3,Sobrecarga puntual,2025-04-21T00:00:00Z,,Planta 3 - Tolhuin
FD-000074,EQP-0089,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2023-03-19T00:00:00Z,Temperatura elevada del refrigerante,3,Ajuste incorrecto,2023-03-21T00:00:00Z,SV-003810,Taller 3 - Tolhuin
FD-000103,EQP-0080,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2023-09-11T00:00:00Z,Fallo sensor de presión de aceite,3,Desgaste natural,2023-09-20T00:00:00Z,,Depósito 3 - Ushuaia
FD-000011,EQP-0058,CLI-008,Cliente 008,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-10-24T00:00:00Z,Dificultad de arranque (batería baja),9,Componente defectuoso,2024-11-03T00:00:00Z,,Oficina 5 - Ushuaia
FD-000037,EQP-0037,CLI-032,Cliente 032,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2025-01-25T00:00:00Z,,4,Componente defectuoso,2025-02-12T00:00:00Z,,Obra 3 - Ushuaia
FD-000106,EQP-0011,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-04-14T00:00:00Z,Dificultad de arranque (batería baja),3,Componente defectuoso,2023-04-23T00:00:00Z,,Obra 5 - Río Grande
FD-000087,EQP-0042,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-08-27T00:00:00Z,Desgaste de cepillos del alternador,3,Desgaste natural,1900-01-01T00:00:00Z,SV-004178,Oficina 1 - Ushuaia
FD-000097,EQP-0031,CLI-049,Cliente 049,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2025-05-24T00:00:00Z,Quemador no enciende,5,Componente defectuoso,2025-06-13T00:00:00Z,SV-004681,Oficina 3 - Río Grande
FD-000041,EQP-0024,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-07-30T00:00:00Z,Sobrecalentamiento por filtro obstruido,5,Sobrecarga puntual,2023-08-05T00:00:00Z,SV-002377,Planta 5 - Tolhuin
FD-000056,EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-03-21T00:00:00Z,Fuga en conducto de combustible,1,Ajuste incorrecto,2024-03-21T00:00:00Z,SV-002923,Obra 5 - Ushuaia
FD-000092,EQP-0060,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2025-04-14T00:00:00Z,Fallo en bujías,3,Desgaste natural,1900-01-01T00:00:00Z,,Obra 3 - Ushuaia
FD-000106,EQP-0011,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-04-14T00:00:00Z,Dificultad de arranque (batería baja),3,Componente defectuoso,2023-04-23T00:00:00Z,,Obra 5 - Río Grande
FD-000060,EQP-0077,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2023-04-28T00:00:00Z,Sobrevelocidad detectada,1,Falta de limpieza,2023-05-15T00:00:00Z,,Planta 3 - Tolhuin
FD-000030,EQP-0043,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 4.5,2022-09-30T00:00:00Z,Fallo sensor de presión de aceite,3,Ajuste incorrecto,2022-10-05T00:00:00Z,,Depósito 3 - Río Grande
FD-000084,EQP-0096,CLI-048,Cliente 048,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-12-09T00:00:00Z,Válvula de rebose fuera de ajuste,3,Componente defectuoso,2024-12-15T00:00:00Z,SV-004294,Planta 5 - Tolhuin
FD-000040,EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-05-26T00:00:00Z,Pérdida de presión en manguera,5,Sobrecarga puntual,1900-01-01T00:00:00Z,SV-002273,Oficina 1 - Tolhuin
FD-000082,EQP-0084,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-11-15T00:00:00Z,Desgaste de cepillos del alternador,4,Falta de limpieza,2023-11-29T00:00:00Z,,Oficina 3 - Río Grande
FD-000089,EQP-0063,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-07-04T00:00:00Z,Desgaste de cepillos del alternador,3,Ajuste incorrecto,2022-04-21T00:00:00Z,,Sucursal 4 - Tolhuin
FD-000033,EQP-0057,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-09-20T00:00:00Z,Fuga en conducto de combustible,-7,Componente defectuoso,2025-09-22T00:00:00Z,SV-001814,Planta 4 - Tolhuin
FD-000014,EQP-0029,CLI-013,Cliente 013,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2025-06-26T00:00:00Z,Batería sin carga,-6,Falta de limpieza,2025-06-30T00:00:00Z,,Depósito 5 - Ushuaia
FD-000051,EQP-0064,CLI-038,Cliente 038,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2025-08-12T00:00:00Z,Sobrecalentamiento por filtro obstruido,2,Componente defectuoso,2025-08-31T00:00:00Z,SV-002523,Depósito 4 - Ushuaia
FD-000111,EQP-0059,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-13T00:00:00Z,Fuga en conducto de combustible,2,Falta de limpieza,2024-01-31T00:00:00Z,SV-004728,Oficina 1 - Ushuaia
FD-000070,EQP-0097,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-09-10T00:00:00Z,Quemador no enciende,5,Desgaste natural,2024-09-25T00:00:00Z,SV-004061,Sucursal 5 - Río Grande
FD-000022,EQP-0028,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2025-03-23T00:00:00Z,Temperatura elevada del refrigerante,4,Sobrecarga puntual,2025-04-04T00:00:00Z,,Planta 5 - Ushuaia
FD-000079,EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-03T00:00:00Z,,4,Desgaste natural,2023-10-01T00:00:00Z,SV-003064,Obra 1 - Río Grande
FD-000048,EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2025-03-24T00:00:00Z,Fallo sensor de presión de aceite,2,Falta de limpieza,2025-04-05T00:00:00Z,,Taller 4 - Ushuaia
